,index,Food,Hobbies,Household
0,0,23178.0,3764.0,5689.0
1,1,22758.0,3357.0,5634.0
2,2,17174.0,2682.0,3927.0
3,3,18878.0,2669.0,3865.0
4,4,14603.0,1814.0,2729.0
5,5,22093.0,3220.0,3898.0
6,6,20490.0,2944.0,4576.0
7,7,27751.0,3986.0,6195.0
8,8,24862.0,2899.0,4975.0
9,9,18901.0,2615.0,4056.0
10,10,16963.0,2547.0,3561.0
11,11,17655.0,2457.0,3546.0
12,12,17340.0,2700.0,3716.0
13,13,19038.0,2822.0,4585.0
14,14,25187.0,3699.0,5947.0
15,15,26656.0,3417.0,6307.0
16,16,16015.0,2233.0,3556.0
17,17,17425.0,2554.0,4091.0
18,18,15351.0,2170.0,3922.0
19,19,14290.0,2049.0,3979.0
20,20,16594.0,2284.0,4843.0
21,21,20938.0,4142.0,6609.0
22,22,20028.0,2978.0,6277.0
23,23,16373.0,2735.0,4858.0
24,24,14043.0,2459.0,3999.0
25,25,13932.0,2758.0,4067.0
26,26,13733.0,2559.0,3985.0
27,27,15480.0,2675.0,4374.0
28,28,19905.0,4088.0,5915.0
29,29,20660.0,2118.0,5929.0
30,30,15066.0,1771.0,4403.0
31,31,16568.0,1833.0,4471.0
32,32,16218.0,1675.0,4153.0
33,33,17242.0,1855.0,4378.0
34,34,17512.0,1653.0,4407.0
35,35,23072.0,2096.0,6034.0
36,36,24909.0,3795.0,6172.0
37,37,17588.0,2687.0,4287.0
38,38,16280.0,2519.0,3953.0
39,39,16039.0,2955.0,3566.0
40,40,16007.0,2686.0,3933.0
41,41,18125.0,2688.0,4759.0
42,42,22545.0,3630.0,6050.0
43,43,22239.0,3282.0,5896.0
44,44,17859.0,2500.0,4576.0
45,45,17284.0,2522.0,4215.0
46,46,15685.0,2736.0,4344.0
47,47,15081.0,2434.0,4264.0
48,48,16267.0,2687.0,4901.0
49,49,20467.0,3702.0,6430.0
50,50,20289.0,3174.0,6180.0
51,51,15973.0,2499.0,4629.0
52,52,14176.0,2303.0,4013.0
53,53,13214.0,2384.0,3632.0
54,54,12959.0,2347.0,3548.0
55,55,15485.0,3239.0,4626.0
56,56,19943.0,3524.0,6153.0
57,57,20229.0,3537.0,6100.0
58,58,14704.0,2738.0,4007.0
59,59,13389.0,2388.0,3804.0
60,60,12891.0,2503.0,3534.0
61,61,14675.0,3120.0,3947.0
62,62,19357.0,3544.0,5408.0
63,63,22603.0,3996.0,6879.0
64,64,23396.0,3504.0,6158.0
65,65,17511.0,2862.0,4479.0
66,66,17253.0,2393.0,3935.0
67,67,16584.0,2427.0,3645.0
68,68,16448.0,2643.0,3810.0
69,69,17212.0,3145.0,4397.0
70,70,22221.0,3501.0,6023.0
71,71,22238.0,3364.0,5934.0
72,72,17589.0,2941.0,4299.0
73,73,16825.0,2607.0,3786.0
74,74,15232.0,2572.0,3807.0
75,75,15324.0,2674.0,3966.0
76,76,18016.0,2807.0,4659.0
77,77,19817.0,3371.0,6046.0
78,78,20547.0,3026.0,6214.0
79,79,15127.0,2790.0,4472.0
80,80,13454.0,2179.0,3841.0
81,81,13799.0,2356.0,4033.0
82,82,13741.0,2176.0,3851.0
83,83,16889.0,2474.0,4916.0
84,84,20924.0,3058.0,5593.0
85,85,16870.0,2446.0,4702.0
86,86,12922.0,2865.0,4217.0
87,87,11883.0,2517.0,3713.0
88,88,11616.0,2515.0,3798.0
89,89,11680.0,2500.0,3965.0
90,90,14714.0,2907.0,5114.0
91,91,17776.0,4039.0,6286.0
92,92,19746.0,3381.0,5918.0
93,93,15703.0,2590.0,4544.0
94,94,16581.0,3002.0,4497.0
95,95,14160.0,2549.0,4052.0
96,96,14778.0,2605.0,3801.0
97,97,17267.0,2828.0,4391.0
98,98,19679.0,3466.0,5267.0
99,99,16383.0,2880.0,4425.0
100,100,17988.0,2670.0,4366.0
101,101,15767.0,2584.0,3880.0
102,102,15180.0,2781.0,4204.0
103,103,15559.0,2811.0,4043.0
104,104,17382.0,3153.0,5113.0
105,105,19108.0,3580.0,6048.0
106,106,21766.0,3466.0,6088.0
107,107,15034.0,3001.0,4178.0
108,108,13313.0,2433.0,3867.0
109,109,12618.0,2485.0,3667.0
110,110,12732.0,2181.0,3771.0
111,111,14330.0,2886.0,4433.0
112,112,17661.0,3604.0,5847.0
113,113,17855.0,3105.0,5286.0
